Year,Month,Period,Age Group,Sex,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Total Deaths,State
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,16,Kansas
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,13,Kansas
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,24,Kentucky
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,18,Kentucky
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,32,Louisiana
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,21,Louisiana
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Maine
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Maine
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,26,Maryland
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,12,Maryland
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,19,Massachusetts
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,27,Massachusetts
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,46,Michigan
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,55,Michigan
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,24,Minnesota
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,22,Minnesota
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,19,Mississippi
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,12,Mississippi
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,39,Missouri
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,23,Missouri
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Montana
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,10,Montana
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,14,Nebraska
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Nebraska
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,16,Nevada
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Nevada
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,New Hampshire
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,New Hampshire
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,23,New Jersey
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,34,New Jersey
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,14,New Mexico
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,12,New Mexico
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,46,New York
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,31,New York
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,24,New York City
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,27,New York City
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,51,North Carolina
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,55,North Carolina
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,North Dakota
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,North Dakota
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,70,Ohio
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,73,Ohio
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,22,Oklahoma
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,14,Oklahoma
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,13,Oregon
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,15,Oregon
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,51,Pennsylvania
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,60,Pennsylvania
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Rhode Island
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Rhode Island
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,26,South Carolina
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,10,South Carolina
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,South Dakota
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,South Dakota
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,53,Tennessee
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,35,Tennessee
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,178,Texas
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,134,Texas
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,24,Utah
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,17,Utah
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Vermont
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Vermont
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,46,Virginia
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,34,Virginia
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,42,Washington
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,28,Washington
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,11,West Virginia
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,West Virginia
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,36,Wisconsin
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,23,Wisconsin
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Wyoming
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Wyoming
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,12,Puerto Rico
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Puerto Rico
2020,1,1/1/2020,18-29 years,Male,0,75,0,26,101,"3,231",United States
2020,1,1/1/2020,18-29 years,Female,0,39,0,28,67,"1,195",United States
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,53,Alabama
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,19,Alabama
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,10,Alaska
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Alaska
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,107,Arizona
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,25,Arizona
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,40,Arkansas
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,14,Arkansas
2020,1,1/1/2020,18-29 years,Male,0,10,0,0,12,353,California
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,11,121,California
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,62,Colorado
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,22,Colorado
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,29,Connecticut
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,10,Connecticut
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,13,Delaware
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Delaware
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,11,District of Columbia
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,District of Columbia
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,227,Florida
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,87,Florida
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,103,Georgia
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,40,Georgia
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,0,Hawaii
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Hawaii
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,13,Idaho
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Idaho
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,113,Illinois
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,37,Illinois
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,79,Indiana
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,45,Indiana
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,23,Iowa
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Iowa
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,34,Kansas
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Kansas
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,50,Kentucky
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,18,Kentucky
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,74,Louisiana
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,27,Louisiana
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,12,Maine
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Maine
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,52,Maryland
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,14,Maryland
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,52,Massachusetts
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,18,Massachusetts
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,83,Michigan
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,32,Michigan
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,37,Minnesota
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,11,Minnesota
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,27,Mississippi
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,15,Mississippi
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,89,Missouri
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,29,Missouri
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,13,Montana
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Montana
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,13,Nebraska
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Nebraska
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,37,Nevada
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,14,Nevada
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,11,New Hampshire
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,New Hampshire
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,59,New Jersey
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,23,New Jersey
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,35,New Mexico
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,14,New Mexico
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,83,New York
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,41,New York
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,52,New York City
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,34,New York City
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,121,North Carolina
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,47,North Carolina
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,0,North Dakota
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,North Dakota
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,109,Ohio
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,51,Ohio
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,33,Oklahoma
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,24,Oklahoma
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,34,Oregon
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,15,Oregon
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,122,Pennsylvania
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,50,Pennsylvania
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,0,Rhode Island
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Rhode Island
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,72,South Carolina
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,22,South Carolina
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,10,South Dakota
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,South Dakota
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,78,Tennessee
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,37,Tennessee
2020,1,1/1/2020,18-29 years,Male,0,11,0,0,12,302,Texas
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,94,Texas
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,29,Utah
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,10,Utah
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,0,Vermont
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Vermont
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,103,Virginia
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,24,Virginia
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,74,Washington
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,21,Washington
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,23,West Virginia
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,West Virginia
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,43,Wisconsin
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,22,Wisconsin
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,0,Wyoming
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Wyoming
2020,1,1/1/2020,18-29 years,Male,0,0,0,0,0,46,Puerto Rico
2020,1,1/1/2020,18-29 years,Female,0,0,0,0,0,0,Puerto Rico
2020,1,1/1/2020,30-39 years,Male,0,138,0,49,187,"4,310",United States
2020,1,1/1/2020,30-39 years,Female,0,108,0,63,171,"2,165",United States
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,67,Alabama
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,36,Alabama
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,13,Alaska
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Alaska
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,114,Arizona
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,53,Arizona
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,49,Arkansas
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,25,Arkansas
2020,1,1/1/2020,30-39 years,Male,0,19,0,10,29,453,California
2020,1,1/1/2020,30-39 years,Female,0,12,0,11,23,189,California
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,77,Colorado
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,33,Colorado
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,58,Connecticut
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,28,Connecticut
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,19,Delaware
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Delaware
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,16,District of Columbia
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,10,District of Columbia
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,11,299,Florida
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,13,138,Florida
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,139,Georgia
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,70,Georgia
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,21,Hawaii
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Hawaii
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,14,Idaho
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,12,Idaho
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,141,Illinois
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,64,Illinois
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,104,Indiana
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,64,Indiana
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,24,Iowa
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Iowa
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,35,Kansas
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,25,Kansas
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,71,Kentucky
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,39,Kentucky
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,92,Louisiana
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,41,Louisiana
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,30,Maine
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,13,Maine
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,97,Maryland
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,28,Maryland
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,86,Massachusetts
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,51,Massachusetts
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,127,Michigan
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,63,Michigan
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,55,Minnesota
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,27,Minnesota
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,41,Mississippi
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,23,Mississippi
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,85,Missouri
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,46,Missouri
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,12,Montana
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Montana
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,21,Nebraska
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,11,Nebraska
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,43,Nevada
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,16,Nevada
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,25,New Hampshire
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,New Hampshire
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,108,New Jersey
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,48,New Jersey
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,43,New Mexico
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,24,New Mexico
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,118,New York
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,46,New York
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,114,New York City
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,43,New York City
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,135,North Carolina
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,86,North Carolina
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,12,North Dakota
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,North Dakota
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,177,Ohio
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,82,Ohio
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,52,Oklahoma
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,31,Oklahoma
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,38,Oregon
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,29,Oregon
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,185,Pennsylvania
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,107,Pennsylvania
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,12,Rhode Island
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Rhode Island
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,87,South Carolina
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,43,South Carolina
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,0,South Dakota
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,South Dakota
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,135,Tennessee
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,80,Tennessee
2020,1,1/1/2020,30-39 years,Male,0,13,0,0,16,325,Texas
2020,1,1/1/2020,30-39 years,Female,0,13,0,0,16,208,Texas
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,45,Utah
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,19,Utah
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,0,Vermont
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Vermont
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,106,Virginia
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,46,Virginia
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,68,Washington
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,50,Washington
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,38,West Virginia
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,19,West Virginia
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,67,Wisconsin
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,33,Wisconsin
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,0,Wyoming
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Wyoming
2020,1,1/1/2020,30-39 years,Male,0,0,0,0,0,65,Puerto Rico
2020,1,1/1/2020,30-39 years,Female,0,0,0,0,0,0,Puerto Rico
2020,1,1/1/2020,40-49 years,Male,0,261,0,83,344,"6,097",United States
2020,1,1/1/2020,40-49 years,Female,0,224,0,68,292,"3,695",United States
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,129,Alabama
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,70,Alabama
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,11,Alaska
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,12,Alaska
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,119,Arizona
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,77,Arizona
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,76,Arkansas
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,53,Arkansas
2020,1,1/1/2020,40-49 years,Male,0,27,0,14,41,586,California
2020,1,1/1/2020,40-49 years,Female,0,35,0,13,48,333,California
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,98,Colorado
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,58,Colorado
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,54,Connecticut
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,29,Connecticut
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,19,Delaware
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,13,Delaware
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,27,District of Columbia
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,14,District of Columbia
2020,1,1/1/2020,40-49 years,Male,0,13,0,0,21,418,Florida
2020,1,1/1/2020,40-49 years,Female,0,18,0,0,26,286,Florida
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,14,203,Georgia
2020,1,1/1/2020,40-49 years,Female,0,12,0,0,15,149,Georgia
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,29,Hawaii
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,14,Hawaii
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,26,Idaho
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,14,Idaho
2020,1,1/1/2020,40-49 years,Male,0,11,0,0,12,243,Illinois
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,127,Illinois
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,151,Indiana
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,85,Indiana
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,43,Iowa
2020,1,1/1/2020,40-49 years,Female,0,0,0,0,0,35,Iowa
2020,1,1/1/2020,40-49 years,Male,0,0,0,0,0,51,Kansas
